name,lat,lon
Awasthi's Nursing Home,26415205,80390298
Kanpur Trauma and Ortho. Centre,26502096,80250733
Madhulok Hospital,26424059,80320220
Lala Amba Prasad Smarak Chikitsalaya,26475686,80356015
Madhuraj Multi Speciality Hospital,26479551,80317530
C.P.Memorial Nursing Home,26541725,80479413
"CHC, Sarsaul",26293831,80482923
Jolly Nursing Home and Research Centre (P) Ltd,26469304,80314980
C L Memorail Hospital and Maternity Home Pvt Ltd,26462990,80305702
R K Devi Eye Research Institute,26481961,80317237
Bimal Nursing Home,26479946,80304062
New Leelamani Hospital,26479613,80343773
Shri Baba Hospital and Trauma Centre,26460295,80259409
"Santosh Hospital, Kanpur Nagar",26439612,80324417
Utkarsh Hospital and Maternity Home,26413784,80315020
Shanti Surgical Clinic and Nursing Home,26428948,80306536
Bhargava Medical And Trauma Centre,26438136,80327277
"S D Hospital, Kanpur Nagar",26441433,80326642
The Orient Hospital,26425271,80309246
The Gastro Liver Hospital,26482982,80313289
Shubh Netra Kendra,26494568,80279217
Mahaveer Hospital And Trauma Centre,26462505,80243741
"CGHS Dispensary, Pandunagar",26471456,80294036
"Sharma Nursing Home, Kanpur Nagar",26482445,80314564
Globus Hospital for Joint Replacement,26475874,80294362
"Indraprastha Hospital, Unnao",26476370,80383193
Sanya Surgical Clinic,26435109,80335095
Famity Hospital and Research Centre,26395831,80324152
Laxmi Devi Kishanchand Memorial Hospital,26445347,80290093
"Metro Hospital, Kanpur Nagar",26492147,80283747
Khairabad Eye Hospital,26487856,80320658
"Mother and Child Care Centre, Kanpur Nagar",26423123,80355153
Spm Hospital Research and Trauma Centre,26501051,80257534
Kanpur Nursing Home,26472761,80323220
Sugandha Maternity and Nursing Home,26414290,80393606
Angel Eyes Lasik Center,26480552,80299773
D. T Nursing Home,26449396,80298610
Dr. S.K Nigam Surgical and Laparoscopy Clinic,26440257,80309449
"Mehrotra Ear , Nose, Throat Hospital and Research Centre",26472884,80320544
J.L.Rohatgi Hospital and Jawaharlal Rohatagi Smarak Netra Chikitsalaya,26478811,80305620
"Community Health Centre, Bhitergaon",26212712,80277217
"Saubhagya Hospital, Kanpur Nagar",26491994,80247367
"Raj Hospital, Kanpur Nagar",26429421,80301827
B.R. Stone Clinic,26473014,80323587
Kanika Hospital Pvt Ltd,26475753,80324811
Pracheta Ayurvedic Clinic and Panchakarma Center,26485714,80275934
Kulwanti Hospitals,26479570,80293557
Swaroops Surgical Nursing Home,26482871,80337140
Raja Ram Hospital,26459966,80247132
Sushila General Hospital,26435245,80317784
Satya Trauma and Maternity Center,26439216,80292669
"Guru Teg Bhadur Charitable Hospital, Kanpur Nagar",26467774,80307013
"CGHS Dispensary, Civil Lines",26476008,80346509
"CGHS Dispensary, Gandhi Gram",26410479,80378355
Kabeer Hospital,26407704,80331436
"Prashant Nursing Home, Kanpur Nagar",26468930,80330362
Chandni Hospital,26479684,80322481
Shree Ram Nursing Home Pvt Ltd,26420198,80328964
"Priya Hospital, Kanpur Nagar",26430431,80299884
R.P. Medical Centre,26495748,80288075
Manama Hospital,26466556,80336770
Brij Medical Centre,26463373,80243633
Annapurna Nursing Home,26409550,80328567
Muskan Ortho and Maternity Centre,26553776,80504860
G.S.V.M. Medical College,26481019,80307528
Dr. Jawaharlal Rohatgi Smarak Netra Chikitsalaya,26447804,80303913
Saral Nursing Home,26423046,80388273
Dr Lalchandani E N T and Laser Center,26479504,80314271
"CGHS Dispensary, R.K.Nagar",26470663,80319640
Excel Hospital,26480551,80337283
"CHC, Terwa",26957333,79788883
Apex Hospital and Research Centre,26484027,80249700
Eye-Q Super Speciality Eye Hospitals,26479229,80314030
New Suparsh Provision Store,26511429,80236190
Bighapur,26347921,80656771
siddharth nagar society pqrk,26504598,80245545
"CHC,Chaubeypur",26618449,80186884
Primary Health Center Majhawan,26304268,80315315
Paharipur NPHC,26656913,79832899
CHC Hasanganj,26773611,80631455
KPM Hospital,26465665,80358394
Bararur NPHC,26316905,79844690
CHC,26685817,80141208
"CHC,Patara",26233524,80195580
"Goverment hospital,THATHIYA",26922248,79894497
CHC Jhinjhak,26566896,79751767
CHC Ghatampur,26149725,80163147
Uma Shanker Male Hospital,26538249,80478459
