lat,lon,name
25047970,80390955,Baghain
25048115,80390757,Baghain
25048348,80856928,Paisuni
25048354,80390497,Baghain
25048585,80390385,Baghain
25048592,80393287,Amarchhi
25048793,80390333,Baghain
25048883,80286122,Ken
25049039,80390134,Baghain
25049100,80445076,Kajipur
25049250,80292933,1
25049379,80293017,1
25049411,80389788,Baghain
25049424,80236699,Bairagiya Pukhari
25049516,80293216,1
25049600,80011566,Parsaniya
25049969,80293663,1
25050104,80388985,Baghain
25050164,80293749,1
25050448,80061800,Bhawanipur
25050475,80294092,1
25050974,80388077,Baghain
25050980,80294435,1
25051398,80290345,2
25051476,80229165,Kamalpurwa
25051595,80285403,Ken
25051661,80242170,Jarawara
25051694,80290560,2
25051839,80387882,Baghain
25052126,80290616,2
25052329,80291830,2
25052347,80326406,Lodhapurawa
25052371,80292241,2
25052397,80290681,2
25052490,80292428,2
25052515,80291531,2
25052541,80292801,2
25052600,80293063,2
25052634,80294258,2
25052667,80290859,2
25052684,80293352,2
25052684,80293931,2
25052701,80291055,2
25052707,80294309,2
25052747,80388038,Baghain
25052944,80294736,2
25053033,80051811,Dharampura
25053118,80294736,2
25053162,80596959,Nardaha
25053196,80295272,2
25053300,80861301,Paisuni
25053315,80285189,Ken
25053507,80294392,2
25053793,80388293,Baghain
25053935,80293749,2
25054277,80285221,Ken
25054317,80861780,Paisuni
25054324,80292418,2
25054401,80293105,2
25054518,80292762,2
25054592,80388734,Baghain
25054599,80466331,Makri
25054865,80150209,Parsendi
25055045,80285414,Ken
25055181,80584788,Dadhiya
25055253,80862604,Paisuni
25055539,80388985,Baghain
25055687,80863382,Paisuni
25056060,80389451,Baghain
25056065,80286015,Ken
25056346,80569770,"SubCentre, Patauda"
25056357,80389974,Baghain
25056451,80390363,Baghain
25056608,80390921,Baghain
25057037,80287056,Ken
25057164,80866906,Paisuni
25057231,80391949,Baghain
25057532,80867875,Paisuni
25057679,80868397,Paisuni
25057844,80868893,Paisuni
25057916,80392269,Baghain
25058340,80869663,Paisuni
25058456,80392338,Baghain
25058767,80870243,Paisuni
25058779,80218809,Bishankhera
25058863,80437865,Bhakhuri
25058883,80136306,Ludhgayan
25059047,80392334,Baghain
25059051,80585434,Ranipur
25059341,80870940,Paisuni
25059452,80249774,Ghoora Purwa
25059924,80392359,Baghain
25060128,80392382,Baghain
25060457,80614699,Bardar
25060692,80288032,Harraee
25060721,80291358,Ken
25060996,80112603,Balkaura
25061535,80392240,Baghain
25062339,80310493,Bhina
25062731,80391989,Baghain
25063034,80294437,Ken
25063282,80418021,Harnampur
25063534,80391965,Baghain
25063732,80876351,Paisuni
25063733,80397680,Baghain
25063789,80398102,Baghain
25063822,80396824,Baghain
25063889,80398621,Baghain
25063899,80295896,Ken
25064005,80398829,Baghain
25064055,80392197,Baghain
25064060,80395712,Baghain
25064287,80399190,Baghain
25064348,80395039,Baghain
25064376,80392576,Baghain
25064608,80392931,Baghain
25064680,80394373,Baghain
25064714,80393304,Baghain
25064736,80399648,Baghain
25064741,80393896,Baghain
25064961,80521120,Nardaha
25064989,80877564,Paisuni
25065256,80399844,Baghain
25065495,80878060,Paisuni
25065616,80399905,Baghain
25065881,80300617,Ken
25066007,80878180,Paisuni
25066701,80399984,Baghain
25066758,80877987,Paisuni
25066773,80059913,Andhiyari Bari
25067227,80400015,Baghain
25067498,80877531,Paisuni
25067621,80305177,Ken
25067854,80308331,Ken
25067874,80306668,Ken
25067942,80192885,Chandla
25068068,80309962,Ken
25068318,80330370,Jigni
25068429,80399954,Baghain
25068569,80227885,Kanbhaee
25068651,80311335,Ken
25068837,80877663,Paisuni
25069097,80624363,Khohi
25069205,80312193,Ken
25069435,80191955,"Government Hospital,Chandla"
25069602,80400094,Baghain
25069844,80577605,Rampur khurd
25069876,80877891,Paisuni
25070141,80623751,"SubCentre, Khohi"
25070196,80162207,Siddhupur
25070381,80267314,Bansiya
25070536,80313717,Ken
25070890,80089813,Tahanga Charai Purwa
25070892,80399520,Baghain
25070959,80877843,Paisuni
25071131,80571161,Rampur kala
25072002,80534417,Farm land
25072002,80534417,Farm land
25072011,80399116,Baghain
25072097,80877759,Paisuni
25072195,80603539,b1
25072229,80603461,b1
25072229,80603461,b2
25072236,80603561,b1
25072266,80603020,b14
25072270,80603483,b1
25072270,80603483,b1
25072271,80603611,B3
25072274,80603468,b2
25072276,80603086,b14
25072279,80603342,b2
25072279,80603342,B3
25072307,80603282,B3
25072307,80603282,b11
25072308,80603632,B3
25072317,80603362,b2
25072317,80603362,b2
25072323,80603223,b11
25072362,80603002,b14
25072362,80603002,b14
25072372,80603069,b14
25072373,80603680,b4
25072374,80603397,B3
25072405,80603589,b4
25072422,80602940,b13
25072433,80603706,b4
25072435,80602852,b13
25072440,80603358,B3
25072440,80603358,B3
25072441,80315047,Ken
25072442,80603327,b11
25072458,80603268,b11
25072458,80603268,b11
25072465,80603615,b4
25072465,80603615,b4
25072501,80602954,b13
25072513,80603732,b5
25072514,80602866,b13
25072514,80602866,b13
25072526,80603546,b7
25072526,80603460,b10
25072533,80603425,b10
25072548,80603638,b5
25072551,80603467,b7
25072583,80603437,b10
25072585,80603569,b7
25072603,80603338,b10
25072605,80603771,b5
25072610,80603489,b7
25072610,80603489,b7
25072615,80603482,b10
25072637,80603591,b6
25072640,80603687,b5
25072640,80603687,b5
25072642,80603348,b10
25072642,80603348,b10
25072648,80603554,b6
25072648,80603422,b9
25072649,80603677,b6
25072672,80603604,b6
25072679,80603330,b9
25072693,80603693,b6
25072708,80603447,b9
25072716,80603346,b8
25072723,80868614,Paisuni
25072727,80603583,b6
25072727,80603583,b6
25072730,80603277,b8
