type,id,name,lat,lon
node,7027783656,"Sharma Nursing Home, Kanpur Nagar",26482445,80314564
node,7027822933,Globus Hospital for Joint Replacement,26475874,80294362
node,7027929689,"Indraprastha Hospital, Unnao",26476370,80383193
node,7027932245,Sanya Surgical Clinic,26435109,80335095
node,7027932283,Famity Hospital and Research Centre,26395831,80324152
node,7028089716,Laxmi Devi Kishanchand Memorial Hospital,26445347,80290093
node,7028096712,"Metro Hospital, Kanpur Nagar",26492147,80283747
node,7028096752,Khairabad Eye Hospital,26487856,80320658
node,7028196929,"Mother and Child Care Centre, Kanpur Nagar",26423123,80355153
node,7028345701,Spm Hospital Research and Trauma Centre,26501051,80257534
node,7028347032,Kanpur Nursing Home,26472761,80323220
node,7028737942,Sugandha Maternity and Nursing Home,26414290,80393606
node,7028968156,Angel Eyes Lasik Center,26480552,80299773
node,7029200262,D. T Nursing Home,26449396,80298610
node,7029313876,Dr. S.K Nigam Surgical and Laparoscopy Clinic,26440257,80309449
node,7029338982,"Mehrotra Ear , Nose, Throat Hospital and Research Centre",26472884,80320544
node,7029614607,J.L.Rohatgi Hospital and Jawaharlal Rohatagi Smarak Netra Chikitsalaya,26478811,80305620
node,7030171844,"Community Health Centre, Bhitergaon",26212712,80277217
node,7030449549,"Saubhagya Hospital, Kanpur Nagar",26491994,80247367
node,7030526529,"Raj Hospital, Kanpur Nagar",26429421,80301827
node,7030526560,B.R. Stone Clinic,26473014,80323587
node,7030575129,Kanika Hospital Pvt Ltd,26475753,80324811
node,7030846777,Pracheta Ayurvedic Clinic and Panchakarma Center,26485714,80275934
node,7030904674,Kulwanti Hospitals,26479570,80293557
node,7031006644,Swaroops Surgical Nursing Home,26482871,80337140
node,7031186353,Raja Ram Hospital,26459966,80247132
node,7031435061,Sushila General Hospital,26435245,80317784
node,7033196402,Satya Trauma and Maternity Center,26439216,80292669
node,7033196407,"Guru Teg Bhadur Charitable Hospital, Kanpur Nagar",26467774,80307013
node,7034673913,"CGHS Dispensary, Civil Lines",26476008,80346509
node,7034694090,"CGHS Dispensary, Gandhi Gram",26410479,80378355
node,7035003246,Kabeer Hospital,26407704,80331436
node,7035025468,"Prashant Nursing Home, Kanpur Nagar",26468930,80330362
node,7035114997,Chandni Hospital,26479684,80322481
node,7035164726,Shree Ram Nursing Home Pvt Ltd,26420198,80328964
node,7035329343,"Priya Hospital, Kanpur Nagar",26430431,80299884
node,7035452782,R.P. Medical Centre,26495748,80288075
node,7035491603,Manama Hospital,26466556,80336770
